index,date,crypto_name,direction,signal_type,status,price_buy,stop_price,qtd
11111,COMPRA SHORT,BTCUSDT,SHORT,NEW,SELL,19261.0,18684.0,0.016
11112,VENDA SHORT,BTCUSDT,SHORT,CLOSE,BUY,0.0,0.0,0.0
11113,COMPRA LONG,BTCUSDT,LONG,NEW,BUY,19263.0,18684.0,0.016
11114,VENDA LONG,BTCUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0



76436,2022-10-02 21:18:00+00:00,HBARUSDT,OPEN_ORDER,CLOSE,,,,
76440,2022-10-02 22:25:52+00:00,ZENUSDT,LONG,NEW,BUY,13.7,13.29,21.0
76443,2022-10-02 22:28:27+00:00,ZENUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76441,2022-10-02 22:25:54+00:00,ZENUSDT,LONG,NEW,BUY,13.66,13.25,21.0
76445,2022-10-03 00:03:17+00:00,COTIUSDT,OPEN_ORDER,CLOSE,,,,
76446,2022-10-03 00:03:56+00:00,BALUSDT,LONG,ALL_TAKE_PROFIT,SELL,0.0,0.0,0.0
76450,2022-10-03 00:45:19+00:00,HNTUSDT,LONG,NEW,BUY,4.93,4.78,58.0
76456,2022-10-03 00:56:54+00:00,BELUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76459,2022-10-03 01:10:02+00:00,XLMUSDT,LONG,NEW,BUY,0.1202,0.1166,2394.0
76460,2022-10-03 01:10:05+00:00,ADAUSDT,LONG,NEW,BUY,0.4234,0.4107,679.0
76463,2022-10-03 01:10:08+00:00,SFPUSDT,LONG,NEW,,,,
76462,2022-10-03 01:10:07+00:00,ADAUSDT,LONG,NEW,,,,
76461,2022-10-03 01:10:05+00:00,XLMUSDT,LONG,NEW,BUY,0.1203,0.1167,2391.0
76464,2022-10-03 01:10:11+00:00,SFPUSDT,LONG,NEW,BUY,0.3765,0.3652,764.0
76466,2022-10-03 01:10:35+00:00,SRMUSDT,LONG,NEW,BUY,0.748,0.7256,384.0
76469,2022-10-03 01:11:03+00:00,ALPHAUSDT,LONG,NEW,BUY,0.1099,0.1066,2616.0
76473,2022-10-03 01:12:30+00:00,ALPHAUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
