index,date,crypto_name,direction,signal_type,status,price_buy,stop_price,qtd
11111,COMPRA SHORT,BTCUSDT,SHORT,NEW,SELL,19261.0,18684.0,0.016
76435,2022-10-02 21:17:02+00:00,GRTUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76881,2022-10-03 10:01:03+00:00,AUDIOUSDT,LONG,NEW,BUY,0.21,0.2037,1300.0
76883,2022-10-03 10:30:05+00:00,LUNAUSDT,LONG,BUY,ERROR,0.0,0.0,0.0
76891,2022-10-03 10:34:29+00:00,DODOUSDT,OPEN_ORDER,CLOSE,,,,
76892,2022-10-03 10:35:10+00:00,NEARUSDT,LONG,NEW,BUY,3.47,3.37,77.0
76895,2022-10-03 10:38:34+00:00,NEARUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76893,2022-10-03 10:35:13+00:00,NEARUSDT,LONG,NEW,BUY,3.47,3.37,77.0
76898,2022-10-03 10:42:13+00:00,SFPUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76903,2022-10-03 10:50:02+00:00,ALGOUSDT,LONG,NEW,BUY,0.3499,0.3394,767.0
76909,2022-10-03 10:53:31+00:00,ALGOUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76916,2022-10-03 11:00:06+00:00,XRPUSDT,LONG,NEW,,,,
76915,2022-10-03 11:00:05+00:00,FTTUSDT,LONG,NEW,BUY,24.07,23.35,11.0
76927,2022-10-03 11:02:45+00:00,XRPUSDT,OPEN_ORDER,CLOSE,,,,
76929,2022-10-03 11:19:30+00:00,FTTUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76932,2022-10-03 11:23:34+00:00,SFPUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76963,2022-10-03 12:22:09+00:00,GTCUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76971,2022-10-03 12:34:09+00:00,EGLDUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76980,2022-10-03 12:45:33+00:00,XLMUSDT,LONG,NEW,BUY,0.1154,0.1119,2320.0
76981,2022-10-03 12:46:10+00:00,COTIUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
76984,2022-10-03 12:48:11+00:00,XLMUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76997,2022-10-03 12:52:30+00:00,COTIUSDT,OPEN_ORDER,ALL_TAKE_PROFIT,,,,
77018,2022-10-03 13:10:14+00:00,BCHUSDT,LONG,NEW,BUY,115.8,112.3,2.310
